Year,Series,Team,Player,PTS_mean,PTS_std,PTS_CV,PTS_G
2022,2022_nba_finals_celtics_vs_warriors,GSW,Klay Thompson,17.0,5.404,0.318,6
2022,2022_nba_finals_celtics_vs_warriors,BOS,Marcus Smart,15.167,8.11,0.535,6
2022,2022_nba_finals_celtics_vs_warriors,GSW,Jordan Poole,13.167,3.061,0.232,6
2022,2022_nba_finals_celtics_vs_warriors,BOS,Al Horford,12.5,8.597,0.688,6
2022,2022_nba_finals_celtics_vs_warriors,BOS,Derrick White,9.833,7.935,0.807,6
2022,2022_nba_finals_celtics_vs_warriors,BOS,Robert Williams,7.5,2.95,0.393,6
2022,2022_nba_finals_celtics_vs_warriors,GSW,Gary Payton II,7.0,4.848,0.693,5
2022,2022_nba_finals_celtics_vs_warriors,GSW,Draymond Green,6.167,4.119,0.668,6
2022,2022_nba_finals_celtics_vs_warriors,GSW,Otto Porter Jr.,5.167,3.817,0.739,6
2022,2022_nba_finals_celtics_vs_warriors,GSW,Kevon Looney,5.0,4.147,0.829,6
2022,2022_nba_finals_celtics_vs_warriors,BOS,Grant Williams,4.167,3.43,0.823,6
2022,2022_nba_finals_celtics_vs_warriors,BOS,Payton Pritchard,2.667,3.077,1.154,6
2022,2022_nba_finals_celtics_vs_warriors,GSW,Nemanja Bjelica,1.8,2.683,1.491,5
2022,2022_nba_finals_celtics_vs_warriors,GSW,Andre Iguodala,1.75,3.5,2.0,4
2022,2022_nba_finals_celtics_vs_warriors,BOS,Luke Kornet,1.667,1.528,0.917,3
2022,2022_nba_finals_celtics_vs_warriors,BOS,Daniel Theis,1.5,2.121,1.414,2
2022,2022_nba_finals_celtics_vs_warriors,BOS,Aaron Nesmith,1.4,1.949,1.392,5
2022,2022_nba_finals_celtics_vs_warriors,BOS,Malik Fitts,1.0,1.732,1.732,3
2022,2022_nba_finals_celtics_vs_warriors,BOS,Nik Stauskas,0.6,1.342,2.236,5
2022,2022_nba_finals_celtics_vs_warriors,BOS,Sam Hauser,0.6,1.342,2.236,5
2022,2022_nba_finals_celtics_vs_warriors,GSW,Moses Moody,0.5,1.0,2.0,4
2022,2022_nba_finals_celtics_vs_warriors,GSW,Damion Lee,0.0,0.0,0.0,4
2022,2022_nba_finals_celtics_vs_warriors,GSW,Jonathan Kuminga,0.0,0.0,0.0,4
2022,2022_nba_finals_celtics_vs_warriors,GSW,Juan Toscano-Anderson,0.0,0.0,0.0,4
2022,2022_nba_finals_celtics_vs_warriors,BOS,Juwan Morgan,0.0,0.0,0.0,4
2021,2021_nba_finals_bucks_vs_suns,MIL,Giannis Antetokounmpo,35.167,11.179,0.318,6
2021,2021_nba_finals_bucks_vs_suns,PHO,Devin Booker,28.167,12.287,0.436,6
2021,2021_nba_finals_bucks_vs_suns,MIL,Khris Middleton,24.0,10.583,0.441,6
2021,2021_nba_finals_bucks_vs_suns,PHO,Chris Paul,21.833,7.36,0.337,6
2021,2021_nba_finals_bucks_vs_suns,MIL,Jrue Holiday,16.667,6.408,0.384,6
2021,2021_nba_finals_bucks_vs_suns,PHO,Deandre Ayton,14.667,6.282,0.428,6
2021,2021_nba_finals_bucks_vs_suns,PHO,Mikal Bridges,12.0,8.295,0.691,6
2021,2021_nba_finals_bucks_vs_suns,PHO,Jae Crowder,11.667,5.989,0.513,6
2021,2021_nba_finals_bucks_vs_suns,MIL,Brook Lopez,11.5,3.391,0.295,6
2021,2021_nba_finals_bucks_vs_suns,MIL,Pat Connaughton,9.167,5.231,0.571,6
2021,2021_nba_finals_bucks_vs_suns,PHO,Cameron Johnson,8.5,3.782,0.445,6
2021,2021_nba_finals_bucks_vs_suns,MIL,Bobby Portis,7.667,5.354,0.698,6
2021,2021_nba_finals_bucks_vs_suns,PHO,Cameron Payne,7.333,3.077,0.42,6
2021,2021_nba_finals_bucks_vs_suns,MIL,P.J. Tucker,4.0,3.464,0.866,6
2021,2021_nba_finals_bucks_vs_suns,MIL,Bryn Forbes,3.0,3.0,1.0,3
2021,2021_nba_finals_bucks_vs_suns,PHO,Frank Kaminsky,3.0,3.464,1.155,4
2021,2021_nba_finals_bucks_vs_suns,MIL,Jordan Nwora,3.0,0.0,0.0,1
2021,2021_nba_finals_bucks_vs_suns,PHO,Torrey Craig,2.833,2.041,0.72,6
2021,2021_nba_finals_bucks_vs_suns,PHO,Ty-Shon Alexander,2.0,0.0,0.0,1
2021,2021_nba_finals_bucks_vs_suns,MIL,Jeff Teague,1.5,1.761,1.174,6
2021,2021_nba_finals_bucks_vs_suns,PHO,Abdel Nader,0.0,0.0,0.0,2
2021,2021_nba_finals_bucks_vs_suns,PHO,Dario Šarić,0.0,0.0,0.0,1
2021,2021_nba_finals_bucks_vs_suns,MIL,Elijah Bryant,0.0,0.0,0.0,1
2021,2021_nba_finals_bucks_vs_suns,MIL,Sam Merrill,0.0,0.0,0.0,1
2021,2021_nba_finals_bucks_vs_suns,MIL,Thanasis Antetokounmpo,0.0,0.0,0.0,1
2020,2020_nba_finals_heat_vs_lakers,LAL,LeBron James,29.833,5.776,0.194,6
2020,2020_nba_finals_heat_vs_lakers,MIA,Jimmy Butler,26.167,9.988,0.382,6
2020,2020_nba_finals_heat_vs_lakers,LAL,Anthony Davis,25.0,7.537,0.301,6
2020,2020_nba_finals_heat_vs_lakers,MIA,Bam Adebayo,15.25,7.136,0.468,4
2020,2020_nba_finals_heat_vs_lakers,MIA,Tyler Herro,14.667,4.844,0.33,6
2020,2020_nba_finals_heat_vs_lakers,LAL,Kentavious Caldwell-Pope,12.833,4.401,0.343,6
2020,2020_nba_finals_heat_vs_lakers,MIA,Duncan Robinson,12.5,8.689,0.695,6
2020,2020_nba_finals_heat_vs_lakers,MIA,Kelly Olynyk,11.6,8.735,0.753,5
2020,2020_nba_finals_heat_vs_lakers,MIA,Jae Crowder,11.167,1.602,0.143,6
2020,2020_nba_finals_heat_vs_lakers,MIA,Kendrick Nunn,10.5,5.357,0.51,6
2020,2020_nba_finals_heat_vs_lakers,LAL,Rajon Rondo,8.667,7.09,0.818,6
2020,2020_nba_finals_heat_vs_lakers,LAL,Kyle Kuzma,8.5,6.189,0.728,6
2020,2020_nba_finals_heat_vs_lakers,LAL,Danny Green,7.5,4.037,0.538,6
2020,2020_nba_finals_heat_vs_lakers,LAL,Markieff Morris,7.5,6.535,0.871,6
2020,2020_nba_finals_heat_vs_lakers,MIA,Meyers Leonard,7.0,0.0,0.0,2
2020,2020_nba_finals_heat_vs_lakers,LAL,Alex Caruso,6.333,2.582,0.408,6
2020,2020_nba_finals_heat_vs_lakers,MIA,Goran Dragić,5.5,0.707,0.129,2
2020,2020_nba_finals_heat_vs_lakers,MIA,Andre Iguodala,3.167,3.189,1.007,6
2020,2020_nba_finals_heat_vs_lakers,MIA,Solomon Hill,3.0,2.16,0.72,4
2020,2020_nba_finals_heat_vs_lakers,LAL,Dwight Howard,2.833,2.041,0.72,6
2020,2020_nba_finals_heat_vs_lakers,LAL,Quinn Cook,1.5,2.121,1.414,2
2020,2020_nba_finals_heat_vs_lakers,LAL,J.R. Smith,1.0,1.732,1.732,3
2020,2020_nba_finals_heat_vs_lakers,MIA,Derrick Jones Jr.,0.5,1.0,2.0,4
2020,2020_nba_finals_heat_vs_lakers,LAL,Jared Dudley,0.0,0.0,0.0,3
2019,2019_nba_finals_warriors_vs_raptors,GSW,Stephen Curry,30.5,9.418,0.309,6
2019,2019_nba_finals_warriors_vs_raptors,TOR,Kawhi Leonard,28.5,5.788,0.203,6
2019,2019_nba_finals_warriors_vs_raptors,GSW,Klay Thompson,26.0,3.391,0.13,5
2019,2019_nba_finals_warriors_vs_raptors,TOR,Pascal Siakam,19.833,7.91,0.399,6
2019,2019_nba_finals_warriors_vs_raptors,TOR,Kyle Lowry,16.167,7.468,0.462,6
2019,2019_nba_finals_warriors_vs_raptors,TOR,Fred VanVleet,14.0,5.06,0.361,6
2019,2019_nba_finals_warriors_vs_raptors,GSW,Draymond Green,12.5,3.507,0.281,6
2019,2019_nba_finals_warriors_vs_raptors,TOR,Marc Gasol,12.0,6.928,0.577,6
2019,2019_nba_finals_warriors_vs_raptors,TOR,Serge Ibaka,11.333,6.154,0.543,6
2019,2019_nba_finals_warriors_vs_raptors,GSW,Kevin Durant,11.0,0.0,0.0,1
2019,2019_nba_finals_warriors_vs_raptors,GSW,Andre Iguodala,9.167,6.853,0.748,6
2019,2019_nba_finals_warriors_vs_raptors,GSW,DeMarcus Cousins,8.333,4.59,0.551,6
2019,2019_nba_finals_warriors_vs_raptors,TOR,Danny Green,7.333,6.501,0.887,6
2019,2019_nba_finals_warriors_vs_raptors,GSW,Kevon Looney,5.8,4.025,0.694,5
2019,2019_nba_finals_warriors_vs_raptors,GSW,Quinn Cook,4.833,3.764,0.779,6
