,Yr,Lg,Series,Unnamed: 3_level_1,Unnamed: 4_level_1,Team,W,Unnamed: 7_level_1,Team,W,Unnamed: 10_level_1,Favorite,Underdog
87,2019,NBA,Western Conf First Round,"Apr 14 - Apr 24, 2019",,Houston Rockets (4),4,,Utah Jazz (5),1,,HOU (-310),UTA (+255)
88,2019,NBA,Eastern Conf Semifinals,"Apr 28 - May 8, 2019",,Milwaukee Bucks (1),4,,Boston Celtics (4),1,,MIL (-360),BOS (+300)
89,2019,NBA,Eastern Conf Semifinals,"Apr 27 - May 12, 2019",,Toronto Raptors (2),4,,Philadelphia 76ers (3),3,,TOR (-290),PHI (+245)
90,2019,NBA,Western Conf Semifinals,"Apr 28 - May 10, 2019",,Golden State Warriors (1),4,,Houston Rockets (4),2,,GSW (-280),HOU (+240)
91,2019,NBA,Western Conf Semifinals,"Apr 29 - May 12, 2019",,Portland Trail Blazers (3),4,,Denver Nuggets (2),3,,DEN (-145),POR (+125)
92,2019,NBA,Eastern Conf Finals,"May 15 - May 25, 2019",,Toronto Raptors (2),4,,Milwaukee Bucks (1),2,,MIL (-270),TOR (+230)
93,2019,NBA,Western Conf Finals,"May 14 - May 20, 2019",,Golden State Warriors (1),4,,Portland Trail Blazers (3),0,,GSW (-550),POR (+425)
94,2019,NBA,Finals,"May 30 - Jun 13, 2019",,Toronto Raptors (2),4,,Golden State Warriors (1),2,,GSW (-270),TOR (+230)
95,,,,,,,,,,,,,
96,2018,NBA,Eastern Conf First Round,"Apr 14 - Apr 27, 2018",,Toronto Raptors (1),4,,Washington Wizards (8),2,,TOR (-630),WAS (+465)
97,2018,NBA,Eastern Conf First Round,"Apr 15 - Apr 28, 2018",,Boston Celtics (2),4,,Milwaukee Bucks (7),3,,BOS (-150),MIL (+130)
98,2018,NBA,Eastern Conf First Round,"Apr 14 - Apr 24, 2018",,Philadelphia 76ers (3),4,,Miami Heat (6),1,,PHI (-500),MIA (+400)
99,2018,NBA,Eastern Conf First Round,"Apr 15 - Apr 29, 2018",,Cleveland Cavaliers (4),4,,Indiana Pacers (5),3,,CLE (-600),IND (+450)
100,2018,NBA,Western Conf First Round,"Apr 15 - Apr 25, 2018",,Houston Rockets (1),4,,Minnesota Timberwolves (8),1,,HOU (-3000),MIN (+1500)
101,2018,NBA,Western Conf First Round,"Apr 14 - Apr 24, 2018",,Golden State Warriors (2),4,,San Antonio Spurs (7),1,,GSW (-900),SAS (+600)
102,2018,NBA,Western Conf First Round,"Apr 14 - Apr 21, 2018",,New Orleans Pelicans (6),4,,Portland Trail Blazers (3),0,,POR (-220),NOP (+180)
103,2018,NBA,Western Conf First Round,"Apr 15 - Apr 27, 2018",,Utah Jazz (5),4,,Oklahoma City Thunder (4),2,,OKC (-140),UTA (+120)
104,2018,NBA,Western Conf Semifinals,"Apr 28 - May 8, 2018",,Golden State Warriors (2),4,,New Orleans Pelicans (6),1,,GSW (-1050),NOP (+675)
105,2018,NBA,Western Conf Semifinals,"Apr 29 - May 8, 2018",,Houston Rockets (1),4,,Utah Jazz (5),1,,HOU (-1500),UTA (+1000)
106,2018,NBA,Eastern Conf Semifinals,"Apr 30 - May 9, 2018",,Boston Celtics (2),4,,Philadelphia 76ers (3),1,,PHI (-525),BOS (+415)
107,2018,NBA,Eastern Conf Semifinals,"May 1 - May 7, 2018",,Cleveland Cavaliers (4),4,,Toronto Raptors (1),0,,TOR (-190),CLE (+165)
